                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                       38                     14366                     13058                     11977                      9991                      9692                      9190                      8894                      6244                      5434                      5259                      5110                      4207                      4088                      3619                      2611                      2018                      1705                      1476                       611 
                       39                     14363                     13060                     11978                      9997                      9694                      9180                      8889                      6250                      5432                      5256                      5114                      4213                      4095                      3622                      2608                      2022                      1703                      1477                       619 
                       40                     14373                     13056                     11981                     10004                      9693                      9187                      8892                      6249                      5426                      5250                      5102                      4207                      4099                      3615                      2611                      2015                      1701                      1475                       617 
                       41                     14386                     13060                     11981                     10006                      9695                      9187                      8890                      6252                      5420                      5249                      5106                      4205                      4097                      3612                      2613                      2018                      1702                      1474                       609 
                       42                     14383                     13062                     11978                     10002                      9700                      9185                      8893                      6250                      5421                      5246                      5105                      4208                      4103                      3617                      2617                      2015                      1701                      1469                       608 
                       43                     14381                     13059                     11979                     10004                      9698                      9191                      8893                      6250                      5418                      5242                      5106                      4210                      4101                      3616                      2607                      2016                      1701                      1468                       608 
                       44                     14373                     13058                     11978                     10006                      9702                      9198                      8889                      6256                      5420                      5246                      5104                      4211                      4092                      3613                      2606                      2014                      1705                      1468                       610 
                       45                     14370                     13056                     11981                     10000                      9698                      9191                      8886                      6246                      5420                      5256                      5114                      4208                      4099                      3617                      2609                      2015                      1702                      1471                       607 
                       46                     14369                     13056                     11983                     10005                      9697                      9192                      8879                      6246                      5417                      5252                      5113                      4207                      4099                      3606                      2611                      2017                      1699                      1473                       607 
                       47                     14373                     13047                     11984                      9999                      9695                      9196                      8872                      6248                      5421                      5245                      5113                      4220                      4102                      3605                      2617                      2012                      1701                      1479                       604 
                       48                     14368                     13056                     11982                      9992                      9693                      9203                      8870                      6250                      5426                      5246                      5107                      4228                      4099                      3612                      2619                      2020                      1703                      1470                       609 
                       49                     14375                     13045                     11974                      9995                      9694                      9200                      8875                      6248                      5430                      5251                      5105                      4226                      4104                      3609                      2616                      2021                      1705                      1480                       605 
                       50                     14374                     13043                     11972                      9995                      9699                      9200                      8876                      6242                      5433                      5251                      5105                      4222                      4103                      3608                      2614                      2024                      1703                      1475                       605 
                       51                     14371                     13048                     11968                     10002                      9704                      9199                      8876                      6244                      5428                      5253                      5106                      4217                      4102                      3613                      2613                      2023                      1706                      1470                       615 
                       52                     14372                     13059                     11962                     10005                      9706                      9201                      8875                      6250                      5427                      5246                      5114                      4219                      4104                      3614                      2616                      2021                      1703                      1479                       614 
                       53                     14371                     13051                     11957                     10008                      9705                      9197                      8876                      6247                      5427                      5244                      5116                      4223                      4097                      3608                      2619                      2021                      1699                      1480                       611 
                       54                     14365                     13063                     11954                     10011                      9705                      9190                      8872                      6255                      5424                      5249                      5116                      4217                      4092                      3609                      2630                      2027                      1698                      1481                       611 
                       55                     14367                     13066                     11955                     10012                      9699                      9194                      8874                      6253                      5427                      5256                      5113                      4217                      4095                      3620                      2626                      2028                      1705                      1486                       612 
                       56                     14368                     13059                     11954                     10013                      9693                      9197                      8875                      6256                      5424                      5256                      5108                      4216                      4098                      3613                      2625                      2027                      1703                      1480                       608 
                       57                     14372                     13052                     11954                     10015                      9698                      9194                      8866                      6256                      5428                      5254                      5112                      4218                      4097                      3616                      2626                      2024                      1700                      1484                       608 
                       58                     14370                     13058                     11959                     10017                      9703                      9197                      8863                      6249                      5424                      5256                      5110                      4219                      4097                      3615                      2626                      2020                      1703                      1494                       605 
                       59                     14371                     13058                     11958                     10024                      9702                      9203                      8859                      6250                      5422                      5259                      5117                      4216                      4095                      3610                      2622                      2016                      1704                      1493                       598 
                       60                     14371                     13056                     11961                     10025                      9702                      9207                      8853                      6251                      5420                      5253                      5112                      4213                      4098                      3609                      2620                      2015                      1700                      1485                       602 
                       61                     14375                     13055                     11950                     10021                      9706                      9204                      8851                      6252                      5427                      5253                      5114                      4214                      4092                      3609                      2617                      2018                      1701                      1481                       598 
