                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                      126                     14323                     13087                     11971                     10029                      9709                      9268                      8868                      6263                      5426                      5208                      5100                      4209                      4095                      3677                      2606                      1972                      1706                      1523                       609 
                      127                     14322                     13077                     11975                     10032                      9710                      9267                      8864                      6258                      5432                      5204                      5096                      4209                      4096                      3682                      2606                      1970                      1701                      1536                       610 
                      128                     14327                     13076                     11978                     10030                      9708                      9264                      8865                      6259                      5431                      5206                      5100                      4206                      4096                      3678                      2606                      1969                      1701                      1534                       610 
                      129                     14328                     13076                     11982                     10029                      9705                      9266                      8864                      6258                      5435                      5204                      5104                      4207                      4094                      3670                      2608                      1972                      1702                      1536                       609 
                      130                     14335                     13079                     11984                     10029                      9709                      9263                      8864                      6259                      5434                      5206                      5095                      4207                      4094                      3670                      2608                      1967                      1704                      1543                       610 
                      131                     14332                     13084                     11985                     10030                      9710                      9268                      8872                      6263                      5435                      5205                      5104                      4209                      4095                      3667                      2606                      1967                      1703                      1541                       610 
                      132                     14339                     13089                     11989                     10030                      9710                      9272                      8871                      6262                      5435                      5199                      5098                      4209                      4096                      3663                      2612                      1960                      1705                      1536                       609 
                      133                     14331                     13092                     11978                     10036                      9712                      9274                      8876                      6261                      5430                      5199                      5103                      4216                      4093                      3658                      2613                      1965                      1703                      1540                       613 
                      134                     14332                     13098                     11983                     10032                      9713                      9277                      8883                      6253                      5432                      5201                      5105                      4213                      4092                      3661                      2607                      1965                      1702                      1533                       613 
                      135                     14333                     13101                     11984                     10032                      9711                      9277                      8883                      6255                      5428                      5204                      5110                      4217                      4094                      3656                      2607                      1960                      1703                      1532                       615 
                      136                     14335                     13093                     11986                     10028                      9715                      9276                      8885                      6252                      5430                      5208                      5110                      4212                      4088                      3646                      2607                      1958                      1700                      1531                       616 
                      137                     14330                     13097                     11986                     10028                      9722                      9276                      8883                      6261                      5433                      5209                      5107                      4217                      4085                      3642                      2605                      1959                      1704                      1538                       609 
                      138                     14325                     13100                     11977                     10031                      9716                      9276                      8884                      6260                      5432                      5211                      5106                      4214                      4088                      3641                      2604                      1957                      1701                      1541                       609 
                      139                     14323                     13102                     11979                     10025                      9716                      9270                      8884                      6254                      5429                      5213                      5107                      4214                      4091                      3637                      2602                      1954                      1704                      1545                       606 
                      140                     14327                     13104                     11981                     10020                      9719                      9263                      8881                      6254                      5428                      5220                      5106                      4211                      4093                      3634                      2603                      1956                      1704                      1544                       605 
                      141                     14329                     13111                     11984                     10026                      9722                      9264                      8886                      6245                      5422                      5214                      5109                      4215                      4093                      3644                      2602                      1957                      1704                      1540                       608 
                      142                     14333                     13110                     11978                     10025                      9725                      9260                      8882                      6245                      5430                      5215                      5105                      4214                      4091                      3652                      2603                      1953                      1702                      1548                       604 
                      143                     14332                     13109                     11981                     10025                      9729                      9258                      8890                      6245                      5433                      5214                      5105                      4216                      4091                      3650                      2604                      1954                      1700                      1542                       609 
                      144                     14340                     13104                     11979                     10022                      9731                      9256                      8884                      6247                      5433                      5218                      5111                      4214                      4086                      3649                      2604                      1947                      1699                      1528                       612 
                      145                     14334                     13103                     11979                     10017                      9719                      9255                      8885                      6246                      5446                      5229                      5105                      4217                      4091                      3651                      2607                      1943                      1701                      1530                       607 
                      146                     14328                     13107                     11980                     10023                      9717                      9252                      8888                      6242                      5437                      5232                      5106                      4215                      4087                      3650                      2603                      1941                      1704                      1531                       613 
                      147                     14323                     13108                     11983                     10022                      9714                      9260                      8887                      6243                      5430                      5236                      5109                      4222                      4094                      3657                      2607                      1942                      1701                      1535                       608 
                      148                     14329                     13114                     11985                     10021                      9716                      9267                      8893                      6242                      5433                      5235                      5103                      4223                      4094                      3648                      2610                      1942                      1700                      1539                       609 
                      149                     14329                     13111                     11982                     10025                      9713                      9270                      8892                      6245                      5438                      5239                      5106                      4220                      4091                      3644                      2608                      1943                      1702                      1540                       610 
                      150                     14333                     13119                     11974                     10026                      9711                      9277                      8889                      6247                      5432                      5246                      5112                      4218                      4095                      3645                      2614                      1943                      1700                      1544                       611 
                      151                     14333                     13119                     11973                     10027                      9702                      9284                      8893                      6250                      5434                      5253                      5117                      4221                      4100                      3638                      2614                      1938                      1701                      1541                       606 
                      152                     14332                     13123                     11972                     10026                      9703                      9284                      8893                      6248                      5434                      5253                      5117                      4218                      4094                      3639                      2611                      1939                      1703                      1542                       611 
                      153                     14326                     13127                     11974                     10019                      9692                      9283                      8884                      6251                      5429                      5247                      5108                      4221                      4097                      3638                      2613                      1946                      1704                      1541                       609 
                      154                     14329                     13126                     11984                     10024                      9689                      9285                      8886                      6260                      5433                      5246                      5106                      4221                      4093                      3638                      2612                      1937                      1704                      1541                       608 
                      155                     14328                     13121                     11980                     10022                      9680                      9287                      8883                      6256                      5433                      5251                      5097                      4227                      4090                      3634                      2613                      1942                      1705                      1532                       610 
                      156                     14330                     13115                     11982                     10021                      9683                      9301                      8881                      6256                      5436                      5255                      5089                      4218                      4095                      3640                      2611                      1941                      1703                      1527                       611 
                      157                     14324                     13111                     11982                     10023                      9688                      9296                      8880                      6263                      5440                      5246                      5086                      4219                      4092                      3639                      2612                      1944                      1702                      1533                       616 
                      158                     14326                     13115                     11978                     10023                      9686                      9301                      8880                      6259                      5443                      5238                      5088                      4221                      4089                      3640                      2615                      1934                      1701                      1533                       614 
                      159                     14331                     13113                     11970                     10027                      9690                      9309                      8871                      6259                      5440                      5248                      5089                      4216                      4089                      3643                      2612                      1938                      1706                      1533                       604 
                      160                     14335                     13114                     11960                     10027                      9700                      9311                      8870                      6254                      5444                      5236                      5091                      4216                      4093                      3641                      2599                      1935                      1704                      1539                       602 
                      161                     14333                     13116                     11968                     10029                      9707                      9307                      8870                      6261                      5436                      5239                      5098                      4220                      4097                      3640                      2607                      1938                      1702                      1535                       612 
                      162                     14335                     13105                     11974                     10022                      9712                      9312                      8880                      6258                      5436                      5248                      5101                      4228                      4094                      3642                      2594                      1931                      1701                      1532                       612 
                      163                     14341                     13094                     11967                     10027                      9705                      9314                      8878                      6258                      5436                      5248                      5105                      4225                      4090                      3645                      2595                      1936                      1703                      1529                       610 
                      164                     14339                     13098                     11965                     10031                      9709                      9319                      8881                      6263                      5428                      5249                      5099                      4230                      4095                      3640                      2595                      1932                      1703                      1530                       608 
                      165                     14339                     13105                     11965                     10030                      9714                      9324                      8884                      6262                      5427                      5251                      5105                      4234                      4092                      3635                      2597                      1924                      1705                      1520                       603 
                      166                     14335                     13103                     11968                     10035                      9721                      9326                      8885                      6254                      5422                      5251                      5099                      4235                      4095                      3636                      2597                      1923                      1701                      1525                       610 
                      167                     14330                     13107                     11970                     10045                      9720                      9328                      8875                      6261                      5424                      5258                      5091                      4247                      4099                      3641                      2602                      1924                      1698                      1518                       602 
                      168                     14323                     13107                     11972                     10043                      9724                      9322                      8880                      6252                      5421                      5251                      5098                      4242                      4099                      3638                      2596                      1931                      1700                      1521                       607 
                      169                     14327                     13110                     11971                     10037                      9729                      9312                      8882                      6253                      5417                      5263                      5106                      4249                      4093                      3634                      2594                      1927                      1703                      1511                       612 
                      170                     14323                     13106                     11975                     10035                      9731                      9309                      8882                      6262                      5422                      5267                      5107                      4252                      4093                      3644                      2593                      1928                      1704                      1516                       603 
                      171                     14328                     13105                     11975                     10036                      9727                      9311                      8874                      6246                      5430                      5268                      5103                      4250                      4098                      3638                      2592                      1929                      1703                      1520                       611 
                      172                     14335                     13098                     11963                     10037                      9728                      9318                      8878                      6250                      5433                      5271                      5107                      4245                      4103                      3637                      2588                      1917                      1699                      1524                       611 
                      173                     14339                     13092                     11962                     10031                      9719                      9320                      8887                      6253                      5438                      5267                      5111                      4241                      4100                      3638                      2596                      1915                      1705                      1525                       605 
                      174                     14335                     13081                     11959                     10030                      9712                      9315                      8880                      6255                      5435                      5270                      5110                      4241                      4095                      3638                      2598                      1920                      1702                      1515                       606 
                      175                     14337                     13087                     11952                     10030                      9711                      9316                      8881                      6256                      5443                      5264                      5103                      4228                      4098                      3643                      2598                      1914                      1700                      1511                       601 
                      176                     14338                     13089                     11951                     10030                      9706                      9319                      8882                      6258                      5441                      5262                      5107                      4235                      4104                      3644                      2604                      1920                      1701                      1515                       604 
                      177                     14339                     13092                     11944                     10036                      9704                      9315                      8877                      6261                      5443                      5259                      5109                      4233                      4103                      3649                      2608                      1911                      1704                      1514                       608 
                      178                     14341                     13097                     11942                     10034                      9701                      9315                      8880                      6258                      5436                      5264                      5113                      4232                      4095                      3647                      2606                      1916                      1700                      1518                       611 
                      179                     14342                     13099                     11937                     10032                      9699                      9304                      8879                      6260                      5431                      5260                      5108                      4232                      4097                      3651                      2608                      1919                      1702                      1521                       614 
                      180                     14344                     13103                     11936                     10038                      9695                      9308                      8877                      6256                      5429                      5259                      5105                      4232                      4099                      3648                      2608                      1913                      1700                      1521                       610 
                      181                     14344                     13102                     11938                     10036                      9695                      9309                      8869                      6262                      5435                      5256                      5109                      4231                      4097                      3656                      2608                      1917                      1703                      1520                       605 
                      182                     14346                     13100                     11942                     10034                      9691                      9310                      8868                      6258                      5433                      5260                      5103                      4234                      4103                      3660                      2605                      1919                      1703                      1520                       609 
                      183                     14347                     13102                     11943                     10043                      9691                      9311                      8866                      6265                      5434                      5263                      5112                      4232                      4103                      3661                      2603                      1929                      1703                      1516                       612 
                      184                     14350                     13105                     11936                     10044                      9699                      9306                      8870                      6256                      5432                      5265                      5110                      4227                      4100                      3666                      2600                      1938                      1706                      1512                       611 
                      185                     14353                     13110                     11941                     10047                      9692                      9308                      8867                      6247                      5433                      5261                      5115                      4231                      4104                      3667                      2603                      1936                      1700                      1512                       614 
                      186                     14363                     13104                     11944                     10052                      9693                      9311                      8864                      6254                      5437                      5262                      5123                      4227                      4100                      3671                      2597                      1935                      1696                      1506                       612 
                      187                     14361                     13106                     11937                     10052                      9694                      9314                      8868                      6259                      5444                      5265                      5125                      4233                      4099                      3670                      2596                      1937                      1700                      1509                       607 
                      188                     14374                     13107                     11946                     10053                      9699                      9316                      8868                      6267                      5445                      5266                      5126                      4233                      4103                      3675                      2595                      1947                      1701                      1505                       605 
                      189                     14376                     13113                     11951                     10051                      9699                      9314                      8871                      6263                      5447                      5269                      5127                      4237                      4103                      3675                      2599                      1955                      1702                      1496                       606 
                      190                     14378                     13113                     11947                     10049                      9691                      9307                      8880                      6265                      5449                      5273                      5126                      4237                      4091                      3679                      2603                      1966                      1701                      1498                       606 
                      191                     14373                     13119                     11944                     10047                      9687                      9315                      8878                      6262                      5449                      5276                      5129                      4241                      4092                      3682                      2606                      1964                      1704                      1498                       607 
                      192                     14383                     13125                     11943                     10045                      9685                      9318                      8880                      6272                      5441                      5272                      5129                      4254                      4097                      3686                      2596                      1961                      1699                      1495                       607 
                      193                     14379                     13125                     11952                     10044                      9686                      9320                      8871                      6268                      5446                      5267                      5134                      4255                      4104                      3677                      2593                      1964                      1699                      1499                       611 
                      194                     14383                     13122                     11950                     10038                      9701                      9326                      8869                      6268                      5449                      5262                      5135                      4250                      4102                      3669                      2596                      1971                      1702                      1496                       610 
                      195                     14392                     13122                     11958                     10030                      9713                      9325                      8864                      6264                      5455                      5259                      5134                      4253                      4102                      3671                      2592                      1978                      1700                      1496                       616 
                      196                     14392                     13120                     11956                     10040                      9709                      9328                      8866                      6263                      5461                      5250                      5144                      4258                      4108                      3669                      2588                      1987                      1699                      1498                       612 
                      197                     14397                     13116                     11960                     10044                      9705                      9329                      8874                      6259                      5460                      5242                      5145                      4256                      4102                      3664                      2591                      1985                      1705                      1494                       623 
                      198                     14397                     13119                     11951                     10044                      9702                      9335                      8879                      6258                      5455                      5247                      5138                      4251                      4095                      3662                      2595                      1987                      1707                      1492                       630 
                      199                     14400                     13101                     11952                     10036                      9709                      9335                      8872                      6253                      5447                      5236                      5148                      4255                      4094                      3666                      2593                      1993                      1705                      1504                       627 
                      200                     14408                     13096                     11965                     10041                      9711                      9339                      8868                      6253                      5439                      5246                      5142                      4247                      4097                      3669                      2593                      2002                      1706                      1510                       626 
                      201                     14415                     13091                     11970                     10043                      9719                      9338                      8865                      6251                      5436                      5246                      5138                      4254                      4104                      3659                      2599                      2011                      1705                      1505                       627 
                      202                     14414                     13085                     11964                     10043                      9720                      9334                      8864                      6249                      5432                      5259                      5139                      4249                      4097                      3666                      2603                      2013                      1702                      1498                       618 
                      203                     14410                     13095                     11969                     10042                      9717                      9331                      8859                      6253                      5429                      5265                      5139                      4244                      4093                      3673                      2602                      2013                      1703                      1494                       617 
                      204                     14411                     13085                     11979                     10039                      9713                      9334                      8862                      6255                      5431                      5273                      5137                      4244                      4088                      3671                      2607                      2011                      1705                      1497                       609 
                      205                     14408                     13089                     11984                     10037                      9712                      9341                      8861                      6258                      5434                      5271                      5138                      4250                      4089                      3664                      2608                      2012                      1700                      1493                       606 
                      206                     14410                     13080                     11985                     10041                      9712                      9341                      8862                      6260                      5435                      5277                      5136                      4247                      4087                      3663                      2606                      2016                      1702                      1494                       600 
                      207                     14401                     13083                     11989                     10037                      9713                      9340                      8869                      6260                      5431                      5277                      5134                      4249                      4088                      3653                      2609                      2015                      1696                      1492                       603 
                      208                     14392                     13084                     11982                     10036                      9706                      9330                      8872                      6261                      5422                      5274                      5134                      4241                      4091                      3645                      2607                      2019                      1703                      1493                       608 
                      209                     14386                     13082                     11980                     10034                      9715                      9328                      8866                      6256                      5419                      5284                      5127                      4239                      4097                      3651                      2614                      2012                      1702                      1504                       609 
                      210                     14386                     13075                     11983                     10034                      9718                      9327                      8859                      6253                      5412                      5285                      5127                      4240                      4095                      3648                      2617                      2009                      1705                      1508                       609 
                      211                     14391                     13081                     11975                     10036                      9727                      9332                      8863                      6252                      5412                      5286                      5122                      4239                      4092                      3635                      2622                      2018                      1701                      1496                       607 
                      212                     14388                     13080                     11972                     10036                      9726                      9329                      8868                      6255                      5411                      5290                      5119                      4242                      4090                      3628                      2613                      2020                      1706                      1492                       612 
