         Cal_age(BP)           Mean SL(m)       95%CI_lower(m)       95%CI_upper(m) 
               10875             -4.54801             -4.74162             -4.31467 
               10850             -4.60592             -4.82625             -4.37924 
               10825             -4.65475             -4.88004             -4.43099 
               10800             -4.70246             -4.90334             -4.46114 
               10775             -4.75699             -4.97374             -4.52712 
               10750             -4.80187             -5.00638             -4.58743 
               10725             -4.85486             -5.06537             -4.65493 
               10700             -4.89999             -5.10903             -4.69395 
               10675             -4.95114             -5.15206                -4.75 
               10650             -5.00521             -5.21508             -4.81456 
               10625             -5.05161             -5.25401             -4.86776 
               10600             -5.09726             -5.28822             -4.88784 
               10575             -5.14503             -5.34513             -4.93542 
               10550             -5.20053             -5.37918             -4.98896 
               10525             -5.24663             -5.42711             -5.05539 
               10500             -5.29324             -5.46553             -5.10455 
               10475             -5.34989             -5.53585             -5.14446 
               10450             -5.39669             -5.58653             -5.20466 
               10425             -5.45119             -5.64277             -5.24534 
               10400             -5.49385             -5.66813             -5.30549 
               10375             -5.54879             -5.74907             -5.34949 
               10350             -5.59956             -5.78864             -5.40531 
               10325             -5.64837             -5.84236             -5.45769 
               10300             -5.69835             -5.86635             -5.50771 
               10275             -5.74704             -5.92574             -5.55976 
               10250             -5.79442             -5.96064             -5.62109 
               10225             -5.84704              -6.0216             -5.68273 
               10200             -5.89656             -6.06732             -5.71134 
               10175             -5.94681              -6.1058             -5.77205 
               10150             -5.99276              -6.1634                -5.83 
               10125             -6.03986             -6.19872             -5.86679 
               10100             -6.08006             -6.24092             -5.90822 
               10075             -6.10749             -6.26795             -5.94973 
               10050             -6.11813             -6.27523             -5.95679 
               10025             -6.12666             -6.30204             -5.94309 
               10000             -6.13714             -6.32355             -5.91845 
                9975             -6.14088             -6.33693             -5.90278 
                9950             -6.14657             -6.37178             -5.89314 
                9925             -6.14728             -6.39559             -5.85238 
                9900             -6.14133             -6.44562             -5.81024 
                9875             -6.12445             -6.47498              -5.7513 
                9850             -6.10478             -6.48616             -5.71085 
                9825             -6.08254             -6.52376             -5.66232 
                9800             -6.06025             -6.52565             -5.56393 
                9775             -6.04305             -6.54223             -5.54139 
                9750             -6.02085             -6.55686             -5.45145 
                9725             -5.99105             -6.58058             -5.40329 
                9700             -5.95128             -6.55955             -5.37317 
                9675             -5.89535             -6.44149             -5.28014 
                9650             -5.83156             -6.40805             -5.21775 
                9625              -5.7656             -6.35832             -5.15144 
                9600             -5.69496             -6.29765              -5.0457 
                9575             -5.62934             -6.23574             -4.97015 
                9550             -5.56975             -6.25254             -4.86812 
                9525             -5.50137             -6.26879             -4.72582 
                9500             -5.43473             -6.21371             -4.59513 
                9475             -5.37435             -6.25933             -4.48453 
                9450             -5.31294             -6.22833             -4.35378 
                9425             -5.25255             -6.20363             -4.24363 
                9400             -5.18965              -6.2157             -4.15223 
                9375             -5.12931             -6.20664             -4.07055 
                9350             -5.06917             -6.18383             -3.95637 
                9325             -5.00568              -6.1145             -3.90946 
                9300             -4.93917             -6.06365             -3.86452 
                9275             -4.86617             -5.99579             -3.79916 
                9250             -4.78719             -5.91687             -3.71087 
                9225             -4.69657              -5.7798             -3.65636 
                9200             -4.59016             -5.63581             -3.60382 
                9175             -4.48075             -5.54184             -3.55261 
                9150             -4.36248             -5.36825             -3.47378 
                9125             -4.25361             -5.23974             -3.40911 
                9100             -4.14218             -5.09333             -3.26547 
                9075             -4.02329             -4.92565             -3.19359 
                9050             -3.90674             -4.83411             -3.08224 
                9025             -3.78739             -4.72302              -2.9427 
                9000             -3.67131             -4.59447             -2.78559 
                8975             -3.55983             -4.49766             -2.66435 
                8950             -3.46182             -4.38963             -2.57077 
                8925             -3.37434             -4.30575             -2.41858 
                8900             -3.29144             -4.20206              -2.3232 
                8875             -3.20971               -4.104             -2.26117 
                8850              -3.1292             -4.02296             -2.16773 
                8825             -3.04912             -3.91876             -2.12022 
                8800             -2.97597             -3.87248              -2.0744 
                8775             -2.90786             -3.76588              -2.0249 
                8750             -2.84097             -3.72026             -1.93911 
                8725             -2.77334             -3.64394              -1.8674 
                8700             -2.70425             -3.56434             -1.84107 
                8675              -2.6365             -3.50399             -1.76846 
                8650             -2.56717             -3.41921             -1.68537 
                8625             -2.49781             -3.31118             -1.63508 
                8600             -2.42884             -3.24828             -1.55145 
                8575             -2.36923             -3.17045             -1.53132 
                8550              -2.2988             -3.11948             -1.46613 
                8525             -2.22553             -3.04362             -1.42384 
                8500             -2.15831             -2.95704             -1.35537 
                8475             -2.09138             -2.93916              -1.3073 
                8450             -2.02331             -2.80046             -1.18481 
                8425             -1.95839             -2.76354             -1.15897 
                8400             -1.88958             -2.69272             -1.09815 
                8375              -1.8199             -2.60475             -1.00919 
                8350             -1.74932             -2.46225            -0.949339 
                8325             -1.68642             -2.43908            -0.923416 
                8300              -1.6178             -2.37621            -0.860141 
                8275              -1.5495             -2.31887             -0.78783 
                8250             -1.48296              -2.2579            -0.709659 
                8225              -1.4138             -2.19097             -0.64553 
                8200             -1.34525             -2.09631            -0.628791 
                8175             -1.27872             -2.03706            -0.499577 
                8150             -1.21141             -1.94055            -0.434526 
                8125             -1.14497             -1.85557            -0.396623 
                8100             -1.07432             -1.80261            -0.307975 
                8075             -1.00427             -1.71825            -0.281225 
                8050            -0.938858             -1.66119            -0.168358 
                8025            -0.871902             -1.60482            -0.143015 
                8000            -0.805195             -1.50875           -0.0725684 
                7975            -0.736983             -1.44883             0.012238 
                7950            -0.664413             -1.38039            0.0768096 
                7925            -0.595735             -1.27478             0.130684 
                7900            -0.533092             -1.19957             0.204405 
                7875            -0.464358             -1.17149             0.288921 
                7850            -0.393797             -1.08867             0.300962 
                7825            -0.328174             -1.02275             0.387509 
                7800            -0.261353            -0.943603             0.455234 
                7775            -0.197064            -0.863412             0.552388 
                7750            -0.127467             -0.82025             0.572039 
                7725           -0.0526862            -0.754924             0.653981 
                7700             0.018843            -0.639277             0.765984 
                7675             0.086397            -0.587412             0.790071 
                7650             0.154821            -0.542835             0.888612 
                7625             0.216821            -0.449159             0.900449 
                7600             0.283284            -0.366875             0.959818 
                7575             0.352489            -0.307338              1.04919 
                7550             0.420782            -0.227258              1.09751 
                7525             0.494683            -0.128526              1.21067 
                7500             0.557932             -0.10443              1.28357 
                7475             0.626261           -0.0454837              1.31599 
                7450             0.692715            0.0387493              1.38701 
                7425             0.762666            0.0934378              1.41999 
                7400             0.829206             0.172152              1.50937 
                7375             0.903401             0.238849              1.60274 
                7350              0.96615             0.244866              1.69422 
                7325              1.03142             0.351909              1.73383 
                7300               1.1081             0.462135              1.79063 
                7275              1.17365             0.501028              1.84338 
                7250              1.23208             0.615164              1.92306 
                7225               1.3043             0.673353              2.02723 
                7200              1.37639             0.696325              2.04837 
                7175              1.44227             0.752759              2.14811 
                7150               1.5128             0.860588              2.20149 
                7125              1.58084             0.932051              2.25078 
                7100              1.64207             0.953029              2.32658 
                7075              1.71115              1.05828              2.41576 
                7050              1.78167              1.11513              2.46133 
                7025               1.8546              1.20924              2.55146 
                7000              1.92248              1.23446              2.56875 
                6975              1.99186              1.28033              2.64353 
                6950              2.05951              1.37908              2.71548 
                6925               2.1328              1.44966               2.8382 
                6900              2.19797              1.51649              2.89243 
                6875              2.26169              1.61278              2.97998 
                6850              2.33238              1.67719              3.01022 
                6825              2.39579              1.73761              3.10015 
                6800              2.45702               1.7681               3.1696 
                6775              2.53658              1.84571              3.26142 
                6750              2.60219              1.89206               3.3282 
                6725               2.6758              1.98978              3.36074 
                6700              2.74454              2.05753              3.46051 
                6675              2.80492              2.10837              3.54052 
                6650              2.87386              2.16712              3.60066 
                6625               2.9448              2.22939              3.66634 
                6600              3.01618              2.32031              3.77774 
