                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                     2590                         0                         0                         0                         0                         0                         0                         0              1.42314e-210              5.21279e-164              3.39296e-153              6.58013e-145               2.61424e-92               1.07243e-86               4.25969e-57                  0.159848                         0                         0                         0                         0 
                     2600                         0                         0                         0                         0                         0                         0                         0              1.41633e-210              7.29539e-163              4.74851e-152              9.20901e-144               3.65868e-91               1.50088e-85               5.96151e-56                  0.187133                         0                         0                         0                         0 
                     2610                         0                         0                         0                         0                         0                         0                         0              1.98218e-209              7.26047e-163              4.72578e-152              9.16493e-144               3.64117e-91                1.4937e-85               5.93298e-56                  0.184389                         0                         0                         0                         0 
                     2620                         0                         0                         0                         0                         0                         0                         0              1.97269e-209              1.01612e-161              6.61382e-151              1.28265e-142               5.09588e-90               2.09046e-84               8.30332e-55                  0.154308                         0                         0                         0                         0 
                     2630                         0                         0                         0                         0                         0                         0                         0              2.76082e-208              1.01125e-161              6.58216e-151              1.27651e-142               5.07149e-90               2.08046e-84               8.26358e-55                  0.096387                         0                         0                         0                         0 
                     2640                         0                         0                         0                         0                         0                         0                         0               2.7476e-208              1.41527e-160              9.21187e-150               1.7865e-141               7.09765e-89               2.91164e-83                1.1565e-53                 0.0392394                         0                         0                         0                         0 
                     2650                         0                         0                         0                         0                         0                         0                         0              3.84532e-207              1.40849e-160              9.16777e-150              1.77795e-141               7.06368e-89                2.8977e-83               1.15097e-53                 0.0090903                         0                         0                         0                         0 
                     2660                         0                         0                         0                         0                         0                         0                         0              3.82692e-207              1.97121e-159              1.28305e-148              2.48828e-140               9.88575e-88               4.05539e-82                1.6108e-52               0.000479686                         0                         0                         0                         0 
                     2670                         0                         0                         0                         0                         0                         0                         0              5.35584e-206              1.96178e-159              1.27691e-148              2.47637e-140               9.83843e-88               4.03598e-82               1.60309e-52               0.000481884                         0                         0                         0                         0 
                     2680                         0                         0                         0                         0                         0                         0                         0              5.33021e-206              2.74555e-158              1.78705e-147              3.46572e-139               1.37691e-86               5.64842e-81               2.24356e-51               3.42869e-05                         0                         0                         0                         0 
                     2690                         0                         0                         0                         0                         0                         0                         0              7.45973e-205              2.73241e-158               1.7785e-147              3.44913e-139               1.37032e-86               5.62139e-81               2.23282e-51               3.43968e-05                         0                         0                         0                         0 
                     2700                         0                         0                         0                         0                         0                         0                         0              7.42403e-205              3.82406e-157              2.48905e-146              4.82713e-138               1.91778e-85               7.86724e-80               3.12487e-50               2.30777e-06                         0                         0                         0                         0 
                     2710                         0                         0                         0                         0                         0                         0                         0              1.03901e-203              3.80575e-157              2.47713e-146              4.80402e-138                1.9086e-85               7.82958e-80               3.10991e-50               2.30777e-06                         0                         0                         0                         0 
                     2720                         0                         0                         0                         0                         0                         0                         0              1.03403e-203              5.32622e-156              3.46679e-145              6.72332e-137               2.67113e-84               1.09577e-78               4.35238e-49               1.09894e-07                         0                         0                         0                         0 
                     2730                         0                         0                         0                         0                         0                         0                         0              1.44715e-202              5.30073e-156               3.4502e-145              6.69114e-137               2.65834e-84               1.09052e-78               4.33155e-49               1.09894e-07                         0                         0                         0                         0 
                     2740                         0                         0                         0                         0                         0                         0                         0              1.44022e-202              7.41847e-155              4.82862e-144              9.36437e-136                3.7204e-83                1.5262e-77               6.06209e-48                         0                         0                         0                         0                         0 
                     2750                         0                         0                         0                         0                         0                         0                         0              2.01562e-201              7.38296e-155              4.80551e-144              9.31955e-136                3.7026e-83                1.5189e-77               6.03307e-48                         0                         0                         0                         0                         0 
                     2760                         0                         0                         0                         0                         0                         0                         0              2.00597e-201              1.03326e-153               6.7254e-143              1.30429e-134               5.18185e-82               2.12573e-76                8.4434e-47                         0                         0                         0                         0                         0 
                     2770                         0                         0                         0                         0                         0                         0                         0              2.80739e-200              1.02831e-153              6.69321e-143              1.29805e-134               5.15705e-82               2.11555e-76               8.40299e-47                         0                         0                         0                         0                         0 
                     2780                         0                         0                         0                         0                         0                         0                         0              2.79396e-200              1.43915e-152              9.36728e-142              1.81664e-133               7.21739e-81               2.96076e-75               1.17601e-45                         0                         0                         0                         0                         0 
                     2790                         0                         0                         0                         0                         0                         0                         0              3.91019e-199              1.43226e-152              9.32244e-142              1.80794e-133               7.18285e-81               2.94658e-75               1.17038e-45                         0                         0                         0                         0                         0 
                     2800                         0                         0                         0                         0                         0                         0                         0              3.89148e-199              2.00447e-151              1.30469e-140              2.53025e-132               1.00525e-79                4.1238e-74               1.63798e-44                         0                         0                         0                         0                         0 
                     2810                         0                         0                         0                         0                         0                         0                         0               5.4462e-198              1.99488e-151              1.29845e-140              2.51814e-132               1.00044e-79               4.10406e-74               1.63014e-44                         0                         0                         0                         0                         0 
                     2820                         0                         0                         0                         0                         0                         0                         0              5.42013e-198              2.79187e-150               1.8172e-139              3.52419e-131               1.40014e-78               5.74371e-73               2.28141e-43                         0                         0                         0                         0                         0 
                     2830                         0                         0                         0                         0                         0                         0                         0              7.58558e-197               2.7785e-150              1.80851e-139              3.50732e-131               1.39343e-78               5.71622e-73               2.27049e-43                         0                         0                         0                         0                         0 
                     2840                         0                         0                         0                         0                         0                         0                         0              7.54927e-197              3.88857e-149              2.53104e-138              4.90856e-130               1.95014e-77               7.99997e-72               3.17759e-42                         0                         0                         0                         0                         0 
                     2850                         0                         0                         0                         0                         0                         0                         0              1.05653e-195              3.86996e-149              2.51892e-138              4.88506e-130                1.9408e-77               7.96168e-72               3.16238e-42                         0                         0                         0                         0                         0 
                     2860                         0                         0                         0                         0                         0                         0                         0              1.05148e-195              5.41608e-148              3.52528e-137              6.83674e-129               2.71619e-76               1.11425e-70               4.42581e-41                         0                         0                         0                         0                         0 
                     2870                         0                         0                         0                         0                         0                         0                         0              1.47156e-194              5.39016e-148              3.50841e-137              6.80402e-129               2.70319e-76               1.10892e-70               4.40463e-41                         0                         0                         0                         0                         0 
                     2880                         0                         0                         0                         0                         0                         0                         0              1.46452e-194              7.54362e-147              4.91008e-136              9.52236e-128               3.78317e-75               1.55195e-69               6.16436e-40                         0                         0                         0                         0                         0 
                     2890                         0                         0                         0                         0                         0                         0                         0              2.04962e-193              7.50752e-147              4.88658e-136              9.47678e-128               3.76506e-75               1.54452e-69               6.13486e-40                         0                         0                         0                         0                         0 
                     2900                         0                         0                         0                         0                         0                         0                         0              2.03981e-193              1.05069e-145              6.83886e-135              1.32629e-126               5.26927e-74               2.16159e-68               8.58585e-39                         0                         0                         0                         0                         0 
                     2910                         0                         0                         0                         0                         0                         0                         0              2.85476e-192              1.04566e-145              6.80613e-135              1.31994e-126               5.24405e-74               2.15124e-68               8.54475e-39                         0                         0                         0                         0                         0 
                     2920                         0                         0                         0                         0                         0                         0                         0              2.84109e-192              1.46342e-144              9.52531e-134              1.84729e-125               7.33915e-73               3.01071e-67               1.19585e-37                         0                         0                         0                         0                         0 
                     2930                         0                         0                         0                         0                         0                         0                         0              3.97616e-191              1.45642e-144              9.47971e-134              1.83845e-125               7.30403e-73                2.9963e-67               1.19013e-37                         0                         0                         0                         0                         0 
                     2940                         0                         0                         0                         0                         0                         0                         0              3.95713e-191              2.03829e-143               1.3267e-132              2.57294e-124               1.02221e-71               4.19338e-66               1.66561e-36                         0                         0                         0                         0                         0 
                     2950                         0                         0                         0                         0                         0                         0                         0              5.53808e-190              2.02853e-143              1.32035e-132              2.56063e-124               1.01732e-71                4.1733e-66               1.65764e-36                         0                         0                         0                         0                         0 
                     2960                         0                         0                         0                         0                         0                         0                         0              5.51157e-190              2.83897e-142              1.84786e-131              3.58364e-123               1.42376e-70               5.84062e-65                2.3199e-35                         0                         0                         0                         0                         0 
                     2970                         0                         0                         0                         0                         0                         0                         0              7.71355e-189              2.82538e-142              1.83902e-131              3.56649e-123               1.41694e-70               5.81266e-65               2.30879e-35                         0                         0                         0                         0                         0 
                     2980                         0                         0                         0                         0                         0                         0                         0              7.67663e-189              3.95417e-141              2.57374e-130              4.99137e-122               1.98304e-69               8.13493e-64                3.2312e-34                         0                         0                         0                         0                         0 
                     2990                         0                         0                         0                         0                         0                         0                         0              1.07436e-187              3.93525e-141              2.56142e-130              4.96748e-122               1.97355e-69               8.09599e-64               3.21573e-34                         0                         0                         0                         0                         0 
                     3000                         0                         0                         0                         0                         0                         0                         0              1.06922e-187              5.50745e-140              3.58475e-129              6.95208e-121               2.76202e-68               1.13305e-62               4.50048e-33                         0                         0                         0                         0                         0 
                     3010                         0                         0                         0                         0                         0                         0                         0              1.49639e-186              5.48109e-140               3.5676e-129              6.91881e-121                2.7488e-68               1.12763e-62               4.47894e-33                         0                         0                         0                         0                         0 
                     3020                         0                         0                         0                         0                         0                         0                         0              1.48923e-186              7.67089e-139              4.99292e-128              9.68301e-120               3.84699e-67               1.57813e-61               6.26836e-32                         0                         0                         0                         0                         0 
                     3030                         0                         0                         0                         0                         0                         0                         0               2.0842e-185              7.63417e-139              4.96902e-128              9.63666e-120               3.82858e-67               1.57058e-61               6.23836e-32                         0                         0                         0                         0                         0 
                     3040                         0                         0                         0                         0                         0                         0                         0              2.07422e-185              1.06842e-137              6.95424e-127              1.34867e-118               5.35817e-66               2.19806e-60                8.7307e-31                         0                         0                         0                         0                         0 
                     3050                         0                         0                         0                         0                         0                         0                         0              2.90292e-184               1.0633e-137              6.92095e-127              1.34221e-118               5.33252e-66               2.18754e-60               8.68891e-31                         0                         0                         0                         0                         0 
                     3060                         0                         0                         0                         0                         0                         0                         0              2.88902e-184              1.48811e-136              9.68601e-126              1.87845e-117               7.46297e-65                3.0615e-59               1.21603e-29                         0                         0                         0                         0                         0 
                     3070                         0                         0                         0                         0                         0                         0                         0              4.04324e-183              1.48099e-136              9.63964e-126              1.86946e-117               7.42725e-65               3.04685e-59               1.21021e-29                         0                         0                         0                         0                         0 
                     3080                         0                         0                         0                         0                         0                         0                         0              4.02389e-183              2.07267e-135              1.34909e-124              2.61635e-116               1.03946e-63               4.26412e-58               1.69371e-28                         0                         0                         0                         0                         0 
                     3090                         0                         0                         0                         0                         0                         0                         0              5.63151e-182              2.06275e-135              1.34263e-124              2.60382e-116               1.03448e-63               4.24371e-58                1.6856e-28                         0                         0                         0                         0                         0 
                     3100                         0                         0                         0                         0                         0                         0                         0              5.60456e-182              2.88686e-134              1.87903e-123               3.6441e-115               1.44778e-62               5.93915e-57               2.35903e-27                         0                         0                         0                         0                         0 
                     3110                         0                         0                         0                         0                         0                         0                         0              7.84369e-181              2.87304e-134              1.87004e-123              3.62666e-115               1.44085e-62               5.91073e-57               2.34774e-27                         0                         0                         0                         0                         0 
                     3120                         0                         0                         0                         0                         0                         0                         0              7.80614e-181              4.02088e-133              2.61716e-122              5.07558e-114               2.01649e-61               8.27217e-56               3.28571e-26                         0                         0                         0                         0                         0 
                     3130                         0                         0                         0                         0                         0                         0                         0              1.09248e-179              4.00164e-133              2.60463e-122              5.05129e-114               2.00684e-61               8.23258e-56               3.26998e-26                         0                         0                         0                         0                         0 
                     3140                         0                         0                         0                         0                         0                         0                         0              1.08725e-179              5.60037e-132              3.64523e-121              7.06937e-113               2.80861e-60               1.15217e-54                4.5764e-25                         0                         0                         0                         0                         0 
                     3150                         0                         0                         0                         0                         0                         0                         0              1.52163e-178              5.57356e-132              3.62778e-121              7.03553e-113               2.79517e-60               1.14665e-54                4.5545e-25                         0                         0                         0                         0                         0 
                     3160                         0                         0                         0                         0                         0                         0                         0              1.51435e-178               7.8003e-131              5.07715e-120              9.84636e-112               3.91189e-59               1.60476e-53               6.37411e-24                         0                         0                         0                         0                         0 
                     3170                         0                         0                         0                         0                         0                         0                         0              2.11936e-177              7.76296e-131              5.05285e-120              9.79923e-112               3.89317e-59               1.59708e-53                6.3436e-24                         0                         0                         0                         0                         0 
                     3180                         0                         0                         0                         0                         0                         0                         0              2.10922e-177              1.08644e-129              7.07156e-119              1.37142e-110               5.44857e-58               2.23514e-52               8.87799e-23                         0                         0                         0                         0                         0 
                     3190                         0                         0                         0                         0                         0                         0                         0              2.95189e-176              1.08124e-129              7.03771e-119              1.36486e-110               5.42249e-58               2.22444e-52               8.83549e-23                         0                         0                         0                         0                         0 
                     3200                         0                         0                         0                         0                         0                         0                         0              2.93776e-176              1.51322e-128              9.84942e-118              1.91014e-109               7.58887e-57               3.11315e-51               1.23654e-21                         0                         0                         0                         0                         0 
                     3210                         0                         0                         0                         0                         0                         0                         0              4.11146e-175              1.50598e-128              9.80227e-118                1.901e-109               7.55254e-57               3.09825e-51               1.23063e-21                         0                         0                         0                         0                         0 
                     3220                         0                         0                         0                         0                         0                         0              4.90702e-314              4.09178e-175              2.10764e-127              1.37185e-116              2.66049e-108               1.05699e-55               4.33606e-50               1.72228e-20                         0                         0                         0                         0                         0 
                     3230                         0                         0                         0                         0                         0                         0              4.90702e-314              5.72652e-174              2.09755e-127              1.36528e-116              2.64775e-108               1.05193e-55                4.3153e-50               1.71404e-20                         0                         0                         0                         0                         0 
                     3240                         0                         0                         0                         0                         0                         0              8.34193e-313              5.69911e-174              2.93557e-126              1.91074e-115              3.70558e-107                1.4722e-54               6.03935e-49               2.39883e-19                         0                         0                         0                         0                         0 
                     3250                         0                         0                         0                         0                         0                         0              2.11002e-312              7.97601e-173              2.92151e-126              1.90159e-115              3.68784e-107               1.46516e-54               6.01044e-49               2.38735e-19                         0                         0                         0                         0                         0 
                     3260                         0                         0                         0                         0                         0                         0              4.56353e-312              7.93783e-173              4.08872e-125              2.66131e-114              5.16121e-106               2.05051e-53               8.41173e-48               3.34114e-18                         0                         0                         0                         0                         0 
                     3270                         0                         0                         0                         0                         0                         0              4.51446e-312              1.11091e-171              4.06915e-125              2.64857e-114               5.1365e-106                2.0407e-53               8.37147e-48               3.32515e-18                         0                         0                         0                         0                         0 
                     3280                         0                         0                         0                         0                         0                         0              6.37912e-312               1.1056e-171              5.69485e-124              3.70673e-113              7.18863e-105                 2.856e-52                1.1716e-46               4.65361e-17                         0                         0                         0                         0                         0 
                     3290                         0                         0                         0                         0                         0                         0                5.594e-312               1.5473e-170              5.66759e-124              3.68899e-113              7.15422e-105               2.84233e-52               1.16599e-46               4.63133e-17                         0                         0                         0                         0                         0 
                     3300                         0                         0                         0                         0                         0                         0              4.31817e-312               1.5399e-170               7.9319e-123              5.16281e-112              1.00125e-103               3.97789e-51               1.63183e-45               6.48164e-16                         0                         0                         0                         0                         0 
                     3310                         0                         0                         0                         0                         0                         0              1.86467e-312              2.15512e-169              7.89393e-123               5.1381e-112              9.96455e-104               3.95885e-51               1.62402e-45               6.45062e-16                         0                         0                         0                         0                         0 
                     3320                         0                         0                         0                         0                         0                         0              1.86467e-312               2.1448e-169              1.10477e-121              7.19086e-111              1.39456e-102               5.54048e-50               2.27285e-44               9.02776e-15                         0                         0                         0                         0                         0 
                     3330                         0                         0                         0                         0                         0                         0              1.66839e-312              3.00169e-168              1.09948e-121              7.15644e-111              1.38788e-102               5.51396e-50               2.26197e-44               8.98455e-15                         0                         0                         0                         0                         0 
                     3340                         0                         0                         0                         0                         0                         0              1.86467e-312              2.98732e-168              1.53875e-120              1.00156e-109              1.94237e-101                7.7169e-49               3.16567e-43               1.25741e-13                         0                         0                         0                         0                         0 
                     3350                         0                         0                         0                         0                         0                         0              1.86467e-312              4.18082e-167              1.53138e-120              9.96764e-110              1.93307e-101               7.67997e-49               3.15052e-43               1.25139e-13                         0                         0                         0                         0                         0 
                     3360                         0                         0                         0                         0                         0                         0              1.86467e-312              4.16081e-167               2.1432e-119              1.39499e-108              2.70537e-100               1.07483e-47               4.40921e-42               1.75134e-12                         0                         0                         0                         0                         0 
                     3370                         0                         0                         0                         0                         0                         0              1.86467e-312              5.82313e-166              2.13294e-119              1.38831e-108              2.69242e-100               1.06968e-47                4.3881e-42               1.74296e-12                         0                         0                         0                         0                         0 
                     3380                         0                         0                         0                         0                         0                         0              1.23657e-312              5.79526e-166              2.98509e-118              1.94297e-107               3.76809e-99               1.49704e-46               6.14124e-41                2.4393e-11                         0                         0                         0                         0                         0 
                     3390                         0                         0                         0                         0                         0                         0              1.33962e-312              8.11057e-165               2.9708e-118              1.93367e-107               3.75006e-99               1.48987e-46               6.11184e-41               2.42763e-11                         0                         0                         0                         0                         0 
                     3400                         0                         0                         0                         0                         0                         0              3.66554e-312              8.07175e-165              4.15769e-117              2.70621e-106               5.24828e-98               2.08511e-45               8.55363e-40               3.39751e-10                         0                         0                         0                         0                         0 
                     3410                         0                         0                         0                         0                         0                         0              3.66554e-312              1.12966e-163              4.13779e-117              2.69326e-106               5.22316e-98               2.07513e-45               8.51269e-40               3.38125e-10                         0                         0                         0                         0                         0 
                     3420                         0                         0                         0                         0                         0                         0              7.23294e-312              1.12425e-163              5.79092e-116              3.76926e-105               7.30991e-97               2.90418e-44               1.19137e-38               4.73212e-09                         0                         0                         0                         0                         0 
                     3430                         0                         0                         0                         0                         0                         0              6.19266e-312              1.57341e-162              5.76321e-116              3.75122e-105               7.27492e-97               2.89028e-44               1.18567e-38               4.70947e-09                         0                         0                         0                         0                         0 
                     3440                         0                         0                         0                         0                         0                         0              6.92871e-311              1.56588e-162              8.06571e-115               5.2499e-104               1.01814e-95                 4.045e-43               1.65936e-37               6.59099e-08                         0                         0                         0                         0                         0 
                     3450                         0                         0                         0                         0                         0                         0              6.69611e-311              2.19148e-161              8.02711e-115              5.22478e-104               1.01327e-95               4.02564e-43               1.65142e-37               6.55945e-08                         0                         0                         0                         0                         0 
