                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                      260                         0                         0                         0                         0                         0                         0                         0                         0              1.06493e-296              6.93157e-286              1.34427e-277               5.3407e-225              2.19089e-219              8.70223e-190               3.4627e-134               4.29182e-97               1.10546e-83               2.49769e-68               1.72911e-20 
                      270                         0                         0                         0                         0                         0                         0                         0                         0              1.05984e-296              6.89839e-286              1.33784e-277              5.31514e-225              2.18041e-219              8.66058e-190              3.44613e-134               6.00648e-96               1.54711e-82               3.49557e-67               1.72083e-20 
                      280                         0                         0                         0                         0                         0                         0                         0                         0              1.48326e-295              9.65443e-285              1.87233e-276              7.43863e-224              3.05152e-218              1.21206e-188              4.82292e-133               5.97773e-96                1.5397e-82               3.47884e-67               2.40834e-19 
                      290                         0                         0                         0                         0                         0                         0                         0                         0              1.47616e-295              9.60822e-285              1.86337e-276              7.40303e-224              3.03691e-218              1.20626e-188              4.79984e-133               8.36594e-95               2.15484e-81                4.8687e-66               2.39681e-19 
                      300                         0                         0                         0                         0                         0                         0                         0                         0              2.06592e-294              1.34469e-283              2.60782e-275              1.03607e-222              4.25022e-217              1.68819e-187              6.71747e-132                8.3259e-95               2.14453e-81               4.84539e-66               3.35438e-18 
                      310                         0                         0                         0                         0                         0                         0                         0                         0              2.05603e-294              1.33825e-283              2.59534e-275              1.03111e-222              4.22987e-217              1.68011e-187              6.68532e-132               1.16523e-93               3.00131e-80               6.78122e-65               3.33833e-18 
                      320                         0                         0                         0                         0                         0                         0                         0                         0              2.87745e-293              1.87291e-282              3.63222e-274              1.44306e-221              5.91979e-216              2.35134e-186              9.35623e-131               1.15965e-93               2.98694e-80               6.74876e-65               4.67205e-17 
                      330                         0                         0                         0                         0                         0                         0                         0                         0              2.86368e-293              1.86394e-282              3.61484e-274              1.43615e-221              5.89145e-216              2.34009e-186              9.31144e-131               1.62295e-92               4.18028e-79               9.44502e-64               4.64969e-17 
                      340                         0                         0                         0                         0                         0                         0                         0                         0              4.00777e-292              2.60862e-281              5.05903e-273              2.00992e-220               8.2452e-215                3.275e-185              1.30315e-129               1.61518e-92               4.16027e-79               9.39981e-64               6.50733e-16 
                      350                         0                         0                         0                         0                         0                         0                         0                         0              3.98859e-292              2.59614e-281              5.03482e-273               2.0003e-220              8.20574e-215              3.25932e-185              1.29692e-129               2.26048e-91               5.82238e-78               1.31552e-62               6.47618e-16 
                      360                         0                         0                         0                         0                         0                         0                         0                         0              5.58211e-291              3.63335e-280              7.04632e-272              2.79946e-219              1.14841e-213              4.56148e-184              1.81506e-128               2.24966e-91               5.79451e-78               1.30922e-62               9.06354e-15 
                      370                         0                         0                         0                         0                         0                         0                         0                         0              5.55539e-291              3.61596e-280               7.0126e-272              2.78606e-219              1.14291e-213              4.53965e-184              1.80637e-128               3.14844e-90               8.10953e-77               1.83228e-61               9.02016e-15 
                      380                         0                         0                         0                         0                         0                         0                         0                         0              7.77487e-290               5.0606e-279              9.81426e-271              3.89914e-218              1.59953e-212              6.35333e-183              2.52805e-127               3.13337e-90               8.07071e-77               1.82351e-61               1.26239e-13 
                      390                         0                         0                         0                         0                         0                         0                         0                         0              7.73766e-290              5.03638e-279              9.76728e-271              3.88048e-218              1.59187e-212              6.32292e-183              2.51595e-127               4.38521e-89               1.12951e-75               2.55204e-60               1.25635e-13 
                      400                         0                         0                         0                         0                         0                         0                         0                         0               1.0829e-288              7.04851e-278              1.36695e-269               5.4308e-217              2.22785e-211              8.84904e-182              3.52112e-126               4.36422e-89               1.12411e-75               2.53983e-60               1.75828e-12 
