         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
               11150             -1.46097             -5.90044              3.17321 
               11125             -1.66675             -6.56632              3.05203 
               11100             -1.75274             -6.47602              2.69132 
               11075             -1.61096             -6.28183              2.83802 
               11050             -1.58935              -5.9558              2.86412 
               11025             -1.51073             -6.00877              3.32735 
               11000             -1.64567             -5.98676              3.18357 
               10975             -1.61075             -6.31465              2.50173 
               10950             -1.63413             -6.41459              2.82205 
               10925              -1.5635              -6.2888              3.00346 
               10900             -1.47545             -5.98084              3.20353 
               10875             -1.68923             -6.23354               3.0443 
               10850             -1.79183             -6.81663              2.95366 
               10825             -1.54103               -6.238              2.97672 
               10800             -1.66732             -6.37934              2.72139 
               10775             -1.62571             -6.51979              3.08936 
               10750             -1.63302              -6.2288              3.10963 
               10725             -1.69648             -6.00285              2.81509 
               10700             -1.61537             -5.87713               3.1392 
               10675             -1.70454             -5.83011              2.55095 
               10650             -1.63815             -5.94944              3.01604 
               10625             -1.50957             -5.47766              3.10399 
               10600             -1.55585             -5.99973              2.55263 
               10575             -1.66695             -6.04984              2.45236 
               10550             -1.65348             -5.89871              2.34822 
               10525             -1.52004             -5.56926              2.50766 
               10500             -1.78655             -5.71442              2.11016 
               10475             -1.66797             -6.30514              2.14367 
               10450             -1.58128             -5.48525              1.93498 
               10425             -1.60661             -5.38592              2.04485 
               10400             -1.53281             -5.20392              2.46201 
               10375             -1.66445             -5.48015              2.27537 
               10350             -1.59345             -5.78195              2.31622 
               10325             -1.56648             -5.14758              1.89661 
               10300             -1.72765             -5.06928              1.74696 
               10275             -1.58164             -4.63877              1.75332 
               10250             -1.76451             -4.74679              1.59731 
               10225             -1.64201             -4.73462              1.43923 
               10200             -1.64904             -4.39117              1.66739 
               10175             -1.72844             -4.72768              1.09965 
               10150             -1.65604             -4.36085              1.15236 
               10125             -1.54003             -3.97544              1.00709 
               10100             -1.16022             -3.78876              1.60274 
               10075            -0.666285              -3.4878              2.13549 
               10050            -0.374674             -3.24719              2.46931 
               10025            -0.361025             -3.06854              2.58865 
               10000            -0.199159             -3.07617              2.84765 
                9975            -0.191443             -2.84616              2.51635 
                9950            -0.114864             -2.78024              2.64169 
                9925            0.0210274             -3.00004              2.68398 
                9900             0.466601             -2.64909              3.30112 
                9875              0.61052             -2.88847              3.68658 
                9850             0.726148             -2.61723              3.85629 
                9825              0.69273             -2.39716              3.88409 
                9800             0.697977             -2.41997              3.70912 
                9775             0.669303             -2.19335              3.82139 
                9750             0.954925               -2.318              3.80603 
